,Team,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM.1,OppO,OppD,AdjEM.2,Year
176,Appalachian St,-0.73,101.4,102.2,65.0,-0.035,-0.65,104.7,105.4,-0.72,2023
177,Pepperdine,-0.75,105.4,106.2,72.2,-0.14,5.44,109.8,104.3,3.39,2023
178,Cleveland St,-0.78,104.4,105.1,66.0,0.029,-4.99,103.3,108.3,0.37,2023
179,SMU,-0.87,103.3,104.2,69.6,-0.048,6.34,108.0,101.7,4.17,2023
180,Pacific,-0.88,108.3,109.2,69.6,0.043,2.18,107.6,105.4,-3.27,2023
181,Radford,-0.93,104.4,105.4,64.6,-0.038,-4.44,103.6,108.1,0.92,2023
182,Navy,-0.98,103.7,104.7,64.5,-0.038,-6.99,101.6,108.6,-1.51,2023
183,Brown,-0.98,100.8,101.8,69.3,0.005,-2.24,104.1,106.3,-4.34,2023
184,Chattanooga,-1.03,108.2,109.2,68.5,-0.065,-2.58,105.0,107.6,1.1,2023
185,Western Kentucky,-1.04,104.8,105.8,67.6,0.052,1.25,105.7,104.4,-3.74,2023
186,New Mexico St,-1.12,105.7,106.8,69.3,-0.088,4.01,106.2,102.2,4.46,2023
187,Florida Gulf Coast,-1.2,105.0,106.2,66.3,0.006,-2.82,104.4,107.2,1.24,2023
188,North Carolina Central,-1.23,100.9,102.1,67.9,-0.058,-5.94,101.1,107.0,5.02,2023
189,Texas St,-1.25,104.8,106.0,63.6,0.001,0.49,104.7,104.2,-0.75,2023
190,Weber St,-1.35,100.5,101.8,65.2,0.064,0.19,106.3,106.1,5.48,2023
191,Abilene Christian,-1.43,105.9,107.3,69.2,-0.05,2.44,105.5,103.1,0.24,2023
192,Wright St,-1.47,104.4,105.9,71.3,-0.081,-5.75,103.2,108.9,-1.63,2023
193,Norfolk St,-1.48,107.5,108.9,65.3,0.065,-7.7,100.3,108.0,-1.5,2023
194,Saint Josephs,-1.51,104.4,105.9,69.3,-0.007,-1.85,104.4,106.3,-5.79,2023
195,Quinnipiac,-1.52,104.2,105.7,69.7,0.007,-5.6,101.0,106.6,-3.57,2023
196,UTEP,-1.54,99.1,100.6,67.0,-0.008,1.35,106.0,104.7,-2.13,2023
197,St Thomas,-1.8,107.8,109.6,66.1,-0.001,-4.39,103.3,107.7,-1.95,2023
198,Detroit Mercy,-1.83,111.6,113.5,67.3,-0.103,-3.21,104.1,107.3,4.57,2023
199,Drexel,-1.96,101.2,103.1,63.7,-0.074,-6.43,101.2,107.6,-1.5,2023
200,St Bonaventure,-2.01,101.2,103.2,65.7,-0.032,-1.0,104.5,105.5,-3.59,2023
201,Gardner Webb,-2.57,99.0,101.6,66.2,-0.091,-4.01,103.7,107.7,1.65,2023
202,Rider,-2.59,106.3,108.9,65.1,-0.039,-5.62,101.2,106.8,-2.58,2023
203,Queens,-2.6,107.2,109.8,70.0,0.003,-2.69,104.3,107.0,-3.57,2023
204,Buffalo,-2.6,104.2,106.8,72.2,0.004,1.02,106.9,105.9,6.01,2023
205,Georgia Southern,-2.61,100.4,103.0,66.7,0.005,-1.6,105.0,106.6,-3.83,2023
206,Siena,-2.67,102.3,105.0,66.9,-0.03,-5.38,101.5,106.9,-3.73,2023
207,Florida St,-2.83,105.2,108.0,68.7,-0.022,5.99,109.0,103.0,3.2,2023
208,Bryant,-2.84,105.0,107.8,72.0,0.004,-4.45,103.2,107.7,1.82,2023
209,Oregon St,-2.89,100.3,103.2,63.7,0.015,7.21,107.6,100.4,-6.55,2023
210,Northern Arizona,-2.94,107.9,110.9,66.9,-0.084,1.1,106.6,105.5,8.34,2023
211,Massachusetts,-3.0,100.9,103.9,70.6,0.036,-0.37,104.4,104.8,-1.15,2023
212,North Dakota St,-3.08,104.6,107.7,68.1,0.007,-1.4,106.3,107.7,7.22,2023
213,Northwestern St,-3.11,106.0,109.1,66.7,0.085,-7.65,102.4,110.0,2.63,2023
214,Howard ,-3.21,103.7,106.9,69.0,0.096,-6.11,101.4,107.5,0.26,2023
215,Rice,-3.23,107.5,110.7,69.9,0.096,0.86,105.5,104.6,-6.06,2023
216,Minnesota,-3.29,102.6,105.9,65.9,0.03,8.84,108.7,99.9,-7.47,2023
217,George Washington,-3.32,109.2,112.5,69.1,0.025,-1.76,103.3,105.0,-5.58,2023
218,Northern Iowa,-3.41,103.2,106.6,67.8,-0.018,-1.23,104.2,105.4,-1.69,2023
219,South Carolina,-3.42,103.7,107.1,64.3,0.042,6.63,108.4,101.8,-3.11,2023
220,Northern Colorado,-3.53,107.7,111.2,69.6,-0.01,-0.12,106.1,106.2,5.82,2023
221,FIU,-3.56,102.9,106.5,70.1,-0.003,-0.03,105.6,105.7,-8.13,2023
222,San Diego,-3.8,110.6,114.4,68.8,-0.03,2.92,107.5,104.6,-2.51,2023
223,Georgetown,-4.34,103.9,108.3,68.9,-0.056,8.28,109.8,101.6,-5.27,2023
224,La Salle,-4.35,103.4,107.8,67.8,0.04,-1.1,104.0,105.1,-2.41,2023
225,Murray St,-4.45,105.7,110.2,66.8,0.095,-0.94,104.0,105.0,-1.28,2023
226,Sacramento St,-4.48,103.9,108.4,62.5,0.012,-0.41,105.4,105.8,3.69,2023
227,Milwaukee,-4.64,103.1,107.7,72.0,0.131,-4.86,103.4,108.2,0.76,2023
228,Campbell,-4.77,105.0,109.8,64.3,-0.049,-4.65,102.5,107.2,-1.25,2023
229,Mercer,-4.88,99.7,104.5,64.6,-0.085,-3.31,104.6,107.9,-2.13,2023
230,North Florida,-4.91,109.9,114.8,68.0,0.012,-1.33,105.7,107.0,5.92,2023
231,Wofford,-4.96,108.8,113.8,65.1,0.023,-2.79,104.1,106.9,-1.12,2023
232,Jacksonville St,-5.2,102.2,107.4,65.7,-0.044,-1.34,105.3,106.7,1.92,2023
233,Western Carolina,-5.38,103.1,108.4,67.4,0.051,-3.62,104.0,107.7,-3.82,2023
234,Jacksonville,-5.4,100.3,105.7,61.2,-0.009,-0.5,106.3,106.8,6.64,2023
235,Robert Morris,-5.51,99.2,104.7,66.4,-0.041,-5.61,102.9,108.5,-1.81,2023
236,Delaware,-5.54,102.5,108.1,67.2,0.042,-3.71,103.5,107.2,-0.64,2023
237,Portland St,-5.58,103.0,108.6,72.4,0.008,0.12,106.2,106.1,5.51,2023
238,Purdue Fort Wayne,-5.82,100.8,106.6,69.1,0.023,-4.78,103.7,108.5,-1.38,2023
239,UT Arlington,-6.09,99.9,106.0,65.9,0.011,3.45,105.9,102.4,4.69,2023
240,Alcorn St,-6.17,102.1,108.3,67.3,0.139,-5.37,99.6,105.0,8.84,2023
241,SIU Edwardsville,-6.21,100.1,106.3,69.2,-0.012,-8.07,101.9,109.9,-0.96,2023
242,Idaho St,-6.28,102.3,108.6,65.3,-0.084,-2.1,105.2,107.3,-1.76,2023
243,East Tennessee St,-6.29,101.2,107.5,65.8,-0.111,-4.25,104.1,108.3,-4.58,2023
244,Northern Illinois,-6.33,100.9,107.2,69.2,-0.016,-1.8,105.2,107.0,3.1,2023
245,UT Rio Grande Valley,-6.39,103.9,110.3,72.7,0.07,0.06,105.3,105.3,-4.78,2023
246,Morehead St,-6.59,100.4,107.0,63.3,0.143,-6.95,102.2,109.1,4.76,2023
247,Winthrop,-6.6,108.6,115.2,66.9,0.032,-3.31,103.7,107.0,2.52,2023
248,Canisius,-6.68,101.8,108.5,67.7,-0.081,-3.18,103.4,106.6,3.42,2023
249,Maryland Eastern Shore,-6.71,94.3,101.1,69.7,0.084,-5.11,101.8,106.9,4.57,2023
250,North Alabama,-6.77,105.3,112.1,68.6,0.123,-2.48,104.3,106.8,0.19,2023
251,Army,-6.91,103.0,109.9,68.6,-0.043,-8.51,100.0,108.5,-9.0,2023
252,UMBC,-7.04,105.4,112.4,67.7,0.028,-8.41,100.7,109.1,-8.56,2023
253,Loyola Chicago,-7.04,102.0,109.1,66.2,-0.036,-0.21,104.8,105.0,-4.2,2023
254,Southeastern Louisiana,-7.04,104.1,111.2,68.8,0.05,-6.83,102.8,109.6,5.83,2023
255,Rhode Island,-7.13,97.7,104.8,67.3,-0.016,-0.78,104.1,104.9,-2.66,2023
256,Southeast Missouri St ,-7.21,100.9,108.1,72.5,0.026,-7.61,101.4,109.0,1.04,2023
257,USC Upstate,-7.4,99.1,106.5,68.0,0.094,-3.49,103.8,107.3,2.38,2023
258,Niagara,-7.43,100.9,108.4,63.2,0.092,-4.8,102.2,107.0,-5.04,2023
259,Nicholls St,-7.81,99.4,107.2,70.5,0.023,-5.79,103.9,109.7,14.13,2023
260,Bellarmine,-7.97,102.4,110.4,62.2,0.084,0.41,106.4,106.0,5.96,2023
261,North Dakota,-8.05,103.4,111.5,67.2,-0.027,-3.17,104.5,107.6,0.09,2023
262,Western Illinois,-8.08,103.1,111.2,66.7,0.068,-4.74,104.3,109.0,-3.36,2023
263,Fairfield,-8.08,98.9,107.0,65.1,0.0,-4.68,101.7,106.4,-1.34,2023
264,California,-8.19,97.8,106.0,63.5,-0.103,8.6,108.7,100.1,1.25,2023
265,Miami OH,-8.29,103.7,112.0,66.8,-0.045,-2.67,105.5,108.2,-1.7,2023
266,Dartmouth,-8.35,99.4,107.7,68.8,0.002,-1.35,104.0,105.3,-3.51,2023
267,Prairie View A&M,-8.35,94.3,102.7,67.8,-0.061,-6.01,100.6,106.6,5.55,2023
268,UC San Diego,-8.53,102.0,110.6,66.1,0.03,-0.01,104.5,104.5,1.26,2023
269,Southern Indiana,-8.68,103.3,112.0,69.3,-0.019,-7.71,101.6,109.3,-1.23,2023
