,Team,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM.1,OppO,OppD,AdjEM.2,Year
331,Central Arkansas,-15.22,98.6,113.9,72.3,0.059,-2.51,104.9,107.4,-1.38,2023
332,Central Michigan,-15.3,93.0,108.3,67.2,0.036,-2.75,105.5,108.2,-1.68,2023
333,McNeese St,-15.38,99.0,114.3,66.3,0.016,-6.07,103.0,109.1,6.57,2023
334,Stnehill,-15.46,94.7,110.1,66.3,0.072,-10.41,98.9,109.3,-0.69,2023
335,Incarnate Word,-15.87,96.6,112.5,67.0,0.012,-8.36,101.7,110.0,-2.28,2023
336,Elon,-15.98,96.8,112.8,66.0,-0.024,-4.55,102.2,106.8,-1.83,2023
337,Coppin St,-16.04,99.2,115.2,71.5,0.067,-2.21,103.2,105.4,3.96,2023
338,Lindenwood,-16.66,95.7,112.4,66.9,0.004,-6.61,102.2,108.8,2.34,2023
339,Columbia,-16.85,94.5,111.3,69.5,0.013,-2.23,103.5,105.8,-6.91,2023
340,Holy Cross,-16.88,94.2,111.0,69.1,0.005,-7.29,100.6,107.9,-6.38,2023
341,St Francis PA,-16.92,99.7,116.6,68.4,-0.009,-11.91,98.0,110.0,-0.92,2023
342,Central Connecticut,-16.93,97.1,114.1,64.4,-0.059,-11.45,97.7,109.1,-4.49,2023
343,Eastern Illinois,-17.07,94.1,111.2,68.0,0.005,-7.97,101.9,109.9,-3.24,2023
344,South Carolina St,-17.07,98.6,115.7,71.7,-0.045,-2.33,103.9,106.3,4.11,2023
345,Presbyterian,-17.21,93.8,111.0,64.7,-0.104,-4.87,103.5,108.4,-4.09,2023
346,Albany,-17.35,98.8,116.1,67.3,-0.027,-3.74,103.2,106.9,0.14,2023
347,Bethune Cookman,-17.37,97.1,114.4,69.0,0.038,-7.62,100.4,108.0,-0.81,2023
348,Alabama St,-17.56,93.3,110.8,66.0,0.005,-5.05,101.2,106.2,7.94,2023
349,Monmouth,-17.73,92.7,110.4,68.4,-0.016,-2.03,104.0,106.1,5.43,2023
350,Hampton,-18.19,97.5,115.7,69.0,0.007,-4.63,102.6,107.2,-1.52,2023
351,Evansville,-18.36,91.6,109.9,69.6,-0.004,-1.06,104.5,105.6,-1.06,2023
352,Houston Christian,-18.82,102.1,120.9,70.7,-0.02,-7.92,102.3,110.2,-0.01,2023
353,VMI,-19.71,98.4,118.1,66.7,0.005,-2.51,104.6,107.1,-2.51,2023
354,Mississippi Valley St,-19.79,92.7,112.5,67.2,-0.026,-3.44,102.1,105.5,9.11,2023
355,Lamar,-20.27,95.0,115.2,65.8,0.004,-7.74,102.2,110.0,-1.5,2023
356,Delaware St,-20.36,92.2,112.5,67.9,0.012,-4.77,101.9,106.6,0.87,2023
357,Florida A&M,-20.42,89.7,110.2,65.1,0.005,-4.14,101.8,105.9,13.06,2023
358,St Francis NY,-21.03,90.2,111.3,66.1,0.082,-14.2,97.6,111.7,-9.29,2023
359,IUPUI,-21.84,95.9,117.7,67.1,-0.076,-5.31,102.9,108.2,-6.55,2023
360,Green Bay,-26.3,90.6,116.9,65.2,0.029,-2.34,104.6,107.0,2.07,2023
361,Hartford,-29.75,89.4,119.2,65.5,-0.039,-9.55,99.9,109.5,-9.44,2023
362,LIU,-30.61,86.5,117.2,72.6,-0.024,-8.98,99.6,108.6,5.77,2023
