,Rk,Team,Conf,W-L,AdjEM,AdjO,Unnamed: 6,AdjD,Unnamed: 8,AdjT,Unnamed: 10,Luck,Unnamed: 12,AdjEM.1,Unnamed: 14,OppO,Unnamed: 16,OppD,Unnamed: 18,AdjEM.2,Unnamed: 20
78,79,Green Bay,Horz,22-11,10.16,112.9,36,102.7,170,65.0,182,-0.018,222,0.55,145,102.8,169,102.3,140,-0.86,181
79,80,Vanderbilt,SEC,19-12,10.01,107.6,93,97.6,68,65.3,173,-0.011,194,3.25,94,103.9,126,100.6,76,-6.22,303
80,81,N.C. State,ACC,16-14,9.84,113.5,30,103.6,185,63.0,266,-0.06,310,5.74,65,106.0,65,100.2,66,-10.96,340
81,82,UTEP,CUSA,23-14,9.84,108.2,89,98.4,79,70.5,18,0.003,155,4.3,82,106.0,64,101.7,116,2.52,95
82,83,Northern Iowa 12,MVC,23-11,9.7,110.6,59,100.9,131,60.8,318,0.051,50,3.1,98,104.7,97,101.6,114,1.88,110
83,84,Vermont,AE,24-9,9.1,108.7,82,99.6,101,69.0,42,-0.02,230,-5.47,279,99.8,276,105.3,260,-5.33,285
84,85,Duquesne 7,A10,21-13,8.95,115.2,18,106.2,244,68.9,47,0.009,146,2.83,101,103.7,131,100.9,83,-3.06,233
85,86,Cincinnati,BE,18-14,8.72,108.7,83,100.0,108,63.5,254,0.032,86,8.11,42,106.8,50,98.7,27,-2.26,213
86,87,Iowa,B10,15-17,8.44,108.6,84,100.2,116,57.6,341,-0.055,303,7.89,47,107.6,37,99.7,53,-3.27,237
87,88,Western Kentucky 12,SB,25-9,8.1,111.1,52,103.0,173,65.6,155,0.092,10,-0.6,173,102.2,197,102.8,162,6.63,36
88,89,George Mason 7,CAA,22-11,8.04,104.6,136,96.6,59,62.2,294,-0.011,197,-0.25,168,102.7,175,102.9,165,-0.25,162
89,90,Oral Roberts,Sum,16-15,7.85,103.0,162,95.2,41,67.6,77,-0.111,342,1.78,116,105.2,88,103.4,180,13.25,4
90,91,Miami OH,MAC,17-13,7.38,103.5,154,96.2,53,60.4,322,-0.005,178,2.44,107,102.5,185,100.0,60,10.25,15
91,92,Mississippi,SEC,16-15,7.19,111.4,48,104.2,196,66.3,128,-0.001,166,6.06,62,105.4,80,99.3,46,0.06,155
92,93,Old Dominion,CAA,25-10,7.02,105.0,132,98.0,72,62.2,295,0.043,64,-2.52,209,101.4,226,103.9,201,-8.55,326
93,94,Texas Tech,B12,14-19,7.01,109.3,74,102.3,161,71.4,14,-0.017,220,10.65,10,109.2,7,98.6,22,1.39,119
94,95,Akron 13,MAC,23-13,6.9,102.9,163,96.0,51,64.8,190,-0.014,204,-1.6,192,100.9,246,102.5,147,-1.83,205
95,96,Wright St.,Horz,20-13,6.9,100.7,213,93.8,34,61.6,309,0.014,134,1.26,127,103.0,164,101.7,117,1.42,118
96,97,Northeastern,CAA,19-13,6.84,106.4,107,99.6,99,59.7,330,0.023,111,2.28,112,103.4,144,101.1,88,6.72,35
97,98,Georgia Tech,ACC,2023-12-19 00:00:00,6.73,100.4,218,93.7,32,70.5,19,-0.107,341,7.67,50,107.3,45,99.6,50,-4.44,265
98,99,Saint Joseph's,A10,17-15,6.71,105.7,119,99.0,90,63.9,231,-0.041,277,3.0,99,104.2,114,101.2,93,1.78,113
99,100,Alabama,SEC,18-14,6.63,105.9,113,99.3,93,67.5,81,-0.016,217,4.06,85,105.2,85,101.2,91,-7.19,308
100,101,Stephen F. Austin 14,Slnd,24-8,6.52,97.0,268,90.4,9,62.4,289,0.053,49,-1.98,204,101.9,212,103.9,202,4.63,58
101,102,Oakland,Sum,23-13,6.36,114.2,27,107.8,271,64.8,192,0.026,102,0.27,152,104.1,118,103.8,198,7.23,31
102,103,Nevada,WAC,21-13,6.07,105.8,117,99.8,104,66.3,125,0.002,159,1.04,135,104.2,109,103.2,173,2.94,91
103,104,Virginia,ACC,2023-10-18 00:00:00,5.77,103.5,151,97.8,70,67.2,89,-0.066,313,9.75,25,108.4,23,98.6,25,-2.58,222
104,105,East Tennessee St. 16,ASun,23-11,5.67,106.4,108,100.7,126,69.6,31,-0.048,289,-4.73,263,100.2,267,105.0,246,-1.26,189
105,106,La Salle,A10,18-13,5.35,105.9,115,100.5,121,66.7,107,-0.009,189,1.08,132,103.0,163,101.9,128,-3.46,245
106,107,Cornell 14,Ivy,21-10,5.23,108.5,85,103.3,179,65.4,162,-0.005,174,-5.58,281,99.0,291,104.6,232,-0.5,175
107,108,Cal St. Northridge 15,BW,17-14,5.18,102.2,182,97.0,64,71.8,12,-0.045,283,0.26,154,104.0,123,103.7,194,5.14,50
108,109,Portland,WCC,19-13,5.01,107.3,97,102.3,160,64.6,209,-0.006,181,0.27,153,103.0,158,102.8,160,0.64,138
109,110,Pacific,BW,21-13,4.92,108.8,80,103.9,189,58.5,335,-0.026,241,-1.91,201,102.4,186,104.3,221,-0.41,171
110,111,Oregon St.,P10,18-18,4.91,106.1,111,101.2,135,57.4,343,0.068,27,9.11,34,108.3,26,99.2,41,-6.43,304
111,112,American 14,Pat,24-8,4.7,105.3,123,100.6,125,60.7,319,0.093,8,-6.34,295,97.6,317,104.0,204,0.55,141
112,113,Iowa St.,B12,15-17,4.6,102.5,176,97.9,71,63.7,239,-0.017,221,5.5,67,106.3,58,100.8,79,-8.1,319
113,114,Richmond,A10,20-16,4.43,106.8,103,102.4,163,63.9,234,-0.034,266,1.08,133,103.7,132,102.6,154,-1.47,193
114,115,Belmont,ASun,20-13,4.25,106.6,106,102.4,164,69.1,39,-0.047,286,-3.83,246,101.3,228,105.2,255,2.46,97
115,116,Weber St. 8,BSky,21-10,4.2,103.2,159,99.0,89,67.0,101,0.078,20,-1.93,202,103.1,155,105.0,247,4.01,68
116,117,Tennessee Martin,OVC,22-10,4.2,108.5,86,104.3,200,68.3,61,0.013,135,-5.21,275,101.2,234,106.4,311,-4.28,260
117,118,Portland St. 13,BSky,23-10,4.04,109.2,77,105.1,219,64.8,191,0.025,105,-3.32,233,101.5,221,104.8,242,0.0,157
118,119,Buffalo,MAC,21-12,3.96,102.6,174,98.6,82,64.6,201,0.036,77,0.07,158,101.5,222,101.4,106,1.97,109
119,120,Bradley,MVC,21-15,3.95,104.9,134,101.0,133,64.7,198,0.046,60,1.45,122,104.2,108,102.8,161,-0.67,178
120,121,St. John's,BE,16-18,3.88,102.7,169,98.8,86,65.4,165,0.001,163,6.51,55,106.3,59,99.8,54,-9.6,333
121,122,Jacksonville 8,ASun,18-14,3.87,108.2,88,104.4,206,66.2,129,-0.071,319,-3.19,227,100.5,255,103.7,195,4.84,54
122,123,Sam Houston St.,Slnd,18-12,3.64,107.3,95,103.7,187,66.1,137,-0.065,312,-1.21,183,102.3,194,103.5,188,4.34,61
123,124,Kent St.,MAC,19-15,3.47,103.2,157,99.7,103,66.1,135,-0.031,257,-1.0,178,100.9,247,101.9,126,0.13,150
124,125,New Mexico St.,WAC,17-15,3.31,109.4,73,106.0,239,69.1,40,-0.02,231,0.85,139,103.6,136,102.7,158,0.17,149
125,126,TCU,MWC,14-17,3.23,103.5,152,100.3,117,62.8,272,-0.019,226,5.35,68,105.5,75,100.1,63,-0.4,170
126,127,Arkansas,SEC,14-16,3.2,105.1,128,101.9,149,68.6,52,-0.04,276,3.85,86,105.1,91,101.2,96,-7.75,316
127,128,Evansville,MVC,17-14,3.1,102.7,171,99.6,98,66.5,116,0.016,126,1.36,125,103.6,137,102.2,136,-4.22,259
128,129,Illinois Chicago,Horz,16-15,3.01,105.6,120,102.6,167,65.1,178,-0.022,232,1.33,126,102.6,179,101.3,98,0.23,147
129,130,Wyoming,MWC,19-14,2.98,107.0,99,104.0,192,69.5,32,0.094,7,3.71,89,105.2,83,101.5,110,-8.43,324
130,131,Murray St.,OVC,19-12,2.76,103.1,160,100.3,118,62.4,291,-0.028,245,-3.03,219,103.0,165,106.0,302,5.35,49
131,132,Drexel,CAA,15-14,2.65,98.6,239,95.9,50,63.0,267,-0.002,167,-0.14,165,102.4,190,102.5,146,3.49,77
132,133,James Madison,CAA,21-15,2.42,105.8,118,103.3,180,65.9,146,0.027,100,-1.83,199,101.6,217,103.4,186,-4.69,273
133,134,Wichita St.,MVC,17-17,2.39,102.8,164,100.4,120,62.3,293,-0.004,172,2.35,109,104.2,112,101.8,122,-0.36,167
134,135,UCF,CUSA,17-14,2.32,105.9,114,103.6,183,65.9,143,0.022,112,1.06,134,104.5,102,103.4,184,-3.01,231
135,136,South Florida,BE,2023-09-22 00:00:00,2.3,101.5,202,99.2,92,60.9,317,-0.056,305,10.3,14,107.7,35,97.4,4,3.04,89
136,137,Santa Clara,WCC,16-17,2.25,101.6,197,99.3,94,63.7,241,-0.051,298,1.1,130,103.8,130,102.7,156,0.99,128
137,138,Massachusetts,A10,2023-12-18 00:00:00,2.22,105.1,130,102.9,172,68.4,59,-0.039,274,4.83,74,105.7,69,100.9,80,4.34,62
138,139,UT Arlington,Slnd,16-14,2.05,109.4,69,107.4,264,69.0,44,-0.105,339,-1.58,191,102.0,208,103.6,191,2.24,103
139,140,Charlotte,A10,2023-11-20 00:00:00,1.84,103.9,149,102.0,151,65.5,158,-0.095,335,3.64,90,105.1,90,101.5,107,1.63,114
140,141,Drake,MVC,17-16,1.8,102.4,179,100.6,123,62.9,269,-0.032,263,0.6,144,103.3,148,102.7,159,-4.76,276
141,142,Bowling Green 8,MAC,19-14,1.79,102.5,175,100.7,129,62.5,287,-0.01,193,-1.76,198,100.3,263,102.1,131,-4.43,264
142,143,Saint Louis,A10,18-14,1.75,101.8,193,100.1,113,60.0,326,0.038,73,0.24,155,102.7,173,102.5,145,-7.19,309
143,144,Southern Miss,CUSA,15-17,1.58,106.7,105,105.1,220,62.4,288,-0.018,225,4.27,83,105.2,87,100.9,84,1.04,127
144,145,Mount St. Mary's,NEC,19-14,1.54,101.4,205,99.9,106,63.9,230,-0.091,333,-6.13,292,100.3,264,106.4,315,3.61,74
145,146,Robert Morris 15,NEC,24-11,1.49,102.0,187,100.6,122,66.0,139,0.055,44,-7.27,310,99.3,284,106.5,317,0.44,144
146,147,College of Charleston,SC,27-9,1.4,110.0,66,108.6,285,66.2,130,0.085,14,-6.68,300,100.2,269,106.9,329,-5.89,298
147,148,Arkansas Little Rock,SB,23-8,1.24,99.9,224,98.7,84,64.9,186,0.144,2,-4.49,258,100.4,262,104.8,243,-2.91,228
148,149,Rutgers,BE,2023-11-21 00:00:00,1.13,98.6,241,97.4,66,64.2,220,-0.074,322,6.25,59,106.2,63,99.9,57,-10.09,339
149,150,Morgan St. 15,MEAC,23-12,0.99,100.1,222,99.1,91,65.5,159,0.031,88,-7.43,311,98.2,309,105.7,286,4.82,55
150,151,Boise St.,WAC,19-13,0.97,103.1,161,102.1,154,68.7,51,0.091,12,-0.24,167,104.1,115,104.4,223,-3.56,248
151,152,North Texas,SB,20-12,0.95,109.0,79,108.0,277,68.1,65,0.036,76,-3.27,231,102.1,199,105.4,264,0.89,131
152,153,Milwaukee,Horz,17-14,0.93,104.6,137,103.7,186,66.6,110,0.064,31,1.24,128,102.6,178,101.4,102,1.37,120
153,154,Marshall,CUSA,15-17,0.92,107.2,98,106.3,246,64.6,204,0.003,154,3.46,93,105.2,84,101.8,120,2.9,93
154,155,Eastern Kentucky,OVC,18-13,0.9,112.6,38,111.7,318,59.4,331,-0.031,256,-4.5,259,101.3,232,105.8,291,-2.32,216
155,156,Southern Illinois,MVC,13-18,0.81,102.2,184,101.4,140,63.7,244,-0.015,208,4.13,84,105.4,78,101.3,97,5.1,51
156,157,Morehead St. 16,OVC,20-16,0.76,102.0,189,101.3,137,65.3,169,0.015,128,-1.9,200,103.6,138,105.5,268,3.49,76
157,158,Lipscomb,ASun,17-14,0.44,105.5,122,105.1,217,67.7,74,-0.102,338,-6.98,307,98.7,297,105.7,285,-5.04,281
158,159,Oregon,P10,2023-08-23 00:00:00,0.43,104.2,143,103.8,188,68.2,63,0.018,118,12.58,1,110.6,1,98.0,13,5.57,48
159,160,Idaho,WAC,17-16,0.25,104.4,140,104.1,195,62.4,290,0.017,124,0.5,146,103.5,142,103.0,166,-0.42,173
160,161,Texas A&M Corpus Chris,Slnd,18-15,0.2,100.0,223,99.8,105,66.4,121,0.033,82,0.81,140,102.6,181,101.7,119,7.27,30
161,162,San Diego,WCC,16-16,0.11,98.4,243,98.3,75,62.1,299,0.015,129,1.53,120,103.8,129,102.2,139,4.25,65
162,163,Louisiana Tech,WAC,15-18,0.0,101.3,207,101.3,139,62.5,286,-0.035,270,-1.48,189,102.6,180,104.0,207,-6.49,305
163,164,Middle Tennessee,SB,18-14,-0.07,104.5,139,104.6,208,63.3,262,-0.044,282,-4.2,253,102.2,198,106.4,310,-3.38,240
164,165,UC Santa Barbara,BW,16-15,-0.09,99.8,226,99.9,107,65.0,185,-0.006,183,-1.37,185,103.0,162,104.4,222,0.9,130
165,166,VMI,BSth,24-8,-0.44,108.5,87,108.9,290,80.1,1,0.074,23,-6.92,306,98.4,305,105.3,261,-0.5,176
166,167,Nicholls St.,Slnd,20-11,-0.46,101.9,192,102.3,162,59.1,332,0.043,63,-4.14,252,99.2,286,103.3,178,-1.27,190
167,168,Long Beach St.,BW,15-15,-0.51,104.5,138,105.0,216,65.9,147,0.048,56,0.43,148,104.2,110,103.8,197,4.73,57
168,169,Hofstra,CAA,21-11,-0.56,97.9,249,98.4,80,67.0,102,0.148,1,-1.39,187,102.0,209,103.4,181,-1.72,202
169,170,Ohio,MAC,15-17,-0.58,101.8,194,102.4,165,65.1,181,-0.023,235,-0.48,170,101.4,227,101.9,123,1.14,123
170,171,Boston University,AE,17-13,-0.59,104.4,141,104.9,212,62.7,275,0.003,157,-5.22,276,100.0,272,105.2,256,-3.11,235
171,172,Montana,BSky,17-12,-0.7,104.1,147,104.8,210,61.9,301,0.03,93,-3.52,240,102.1,204,105.6,280,1.78,112
172,173,Fairfield,MAAC,17-15,-0.77,103.2,158,104.0,191,63.6,246,0.08,19,0.28,150,101.3,229,101.1,87,3.26,83
173,174,Tulane,CUSA,14-17,-0.78,98.6,238,99.4,95,64.6,203,-0.01,192,0.95,137,104.2,111,103.2,175,-4.57,270
174,175,IUPUI,Sum,16-14,-0.79,103.8,150,104.6,209,61.2,312,-0.008,186,-1.12,180,103.9,124,105.0,249,3.39,81
175,176,Radford 16,BSth,21-12,-0.86,101.2,208,102.1,153,69.2,37,0.076,21,-4.54,260,101.0,243,105.5,271,8.71,22
176,177,Binghamton 15,AE,23-9,-0.98,102.3,181,103.3,178,67.2,91,0.13,3,-5.64,282,99.6,281,105.3,259,-4.08,253
177,178,Colorado,B12,2023-09-22 00:00:00,-1.0,101.2,210,102.2,157,61.6,310,-0.098,336,6.34,57,106.2,60,99.9,56,-8.22,323
178,179,Rider,MAAC,19-13,-1.25,105.1,131,106.3,247,67.8,70,0.055,45,-3.18,226,99.3,283,102.5,144,-6.21,302
179,180,South Alabama,SB,20-13,-1.28,102.8,165,104.1,194,63.2,264,0.037,75,-4.92,269,101.7,215,106.6,321,-5.67,294
180,181,Colorado St.,MWC,2023-09-22 00:00:00,-1.37,107.0,100,108.4,282,66.4,123,-0.057,308,5.13,70,105.3,81,100.2,65,0.65,137
181,182,Holy Cross,Pat,18-14,-1.39,98.7,235,100.1,114,64.5,213,-0.027,244,-6.38,297,98.5,302,104.9,244,-1.59,195
182,183,Troy,SB,19-13,-1.42,108.8,81,110.2,303,69.9,25,0.065,29,-4.21,254,101.4,224,105.6,283,-2.8,226
183,184,Austin Peay,OVC,19-14,-1.64,107.4,94,109.0,291,66.7,106,0.056,41,-2.35,207,102.3,191,104.7,235,4.92,53
184,185,Utah Valley,ind,17-11,-2.01,104.1,144,106.2,242,60.5,321,-0.054,301,-9.8,327,97.9,313,107.7,341,-5.41,287
185,186,Sacred Heart,NEC,17-14,-2.13,103.9,148,106.0,238,68.0,66,-0.058,309,-8.56,319,98.4,306,106.9,331,-3.69,249
186,187,George Washington,A10,2023-10-18 00:00:00,-2.17,102.2,183,104.4,205,63.0,265,-0.066,314,1.4,124,104.0,121,102.6,151,-3.17,236
187,188,St. Bonaventure,A10,15-15,-2.22,98.6,240,100.8,130,70.1,22,0.034,78,-1.04,179,102.1,202,103.1,170,-7.34,313
