,Rk,Team,Conf,W-L,AdjEM,AdjO,Unnamed: 6,AdjD,Unnamed: 8,AdjT,Unnamed: 10,Luck,Unnamed: 12,AdjEM.1,Unnamed: 14,OppO,Unnamed: 16,OppD,Unnamed: 18,AdjEM.2,Unnamed: 20
0,1,North Carolina 1,ACC,34-4,31.14,123.2,1,92.1,18,72.9,6,-0.011,195,9.91,24,108.2,27,98.3,15,1.06,126
1,2,Connecticut 1,BE,31-5,29.25,116.0,17,86.8,3,67.1,96,0.024,107,10.37,13,109.0,11,98.6,24,-1.68,200
2,3,Pittsburgh 1,BE,31-5,28.96,121.2,2,92.3,19,65.2,174,-0.012,201,10.11,19,108.1,28,98.0,12,0.79,132
3,4,Memphis 2,CUSA,33-4,28.67,112.8,37,84.2,1,65.9,145,-0.009,190,4.73,77,105.5,73,100.8,78,4.19,67
4,5,Louisville 1,BE,31-6,26.06,111.2,49,85.2,2,66.9,103,0.068,25,9.57,27,108.6,17,99.0,37,-0.19,161
5,6,Missouri 3,B12,31-7,24.81,116.6,13,91.8,17,70.9,15,0.031,87,7.96,44,106.4,57,98.4,20,-3.76,251
6,7,Oklahoma 2,B12,30-6,24.59,118.3,4,93.7,33,66.6,109,0.018,120,9.49,29,108.3,25,98.9,31,0.46,143
7,8,Gonzaga 4,WCC,28-6,24.51,117.5,8,93.0,24,67.1,97,0.003,156,4.63,78,105.1,89,100.5,74,10.61,13
8,9,Michigan St. 2,B10,31-7,24.37,114.3,26,89.9,6,66.5,112,0.091,11,12.33,2,109.4,5,97.1,2,5.81,42
9,10,Duke 2,ACC,30-7,24.31,117.5,7,93.2,28,66.3,127,0.053,47,10.23,15,108.5,19,98.3,17,3.18,84
10,11,West Virginia 6,BE,23-12,24.21,115.1,19,90.9,13,63.7,240,-0.067,315,10.95,8,108.9,12,98.0,10,2.11,107
11,12,UCLA 6,P10,26-9,23.93,119.5,3,95.6,44,65.3,171,-0.03,251,8.42,39,107.6,39,99.1,40,-3.43,243
12,13,Villanova 3,BE,30-8,23.89,114.4,24,90.5,10,68.3,62,0.021,116,9.99,22,108.9,14,98.9,32,-5.37,286
13,14,Kansas 3,B12,27-8,23.83,114.5,23,90.7,11,67.2,93,-0.013,202,8.83,37,107.9,32,99.1,39,1.55,117
14,15,Arizona St. 6,P10,25-10,23.03,118.2,5,95.2,42,59.1,334,-0.018,223,10.14,18,108.9,13,98.8,29,-2.04,207
15,16,Syracuse 3,BE,28-10,22.21,117.0,10,94.8,39,69.7,29,0.024,106,11.46,4,108.4,21,97.0,1,0.77,133
16,17,Washington 4,P10,26-9,22.09,113.1,34,91.0,14,72.2,10,-0.005,180,10.18,16,109.4,4,99.2,44,0.09,151
17,18,Purdue 5,B10,27-10,21.84,110.5,60,88.7,5,65.9,144,-0.012,199,8.94,36,107.2,46,98.3,16,-5.45,289
18,19,Marquette 6,BE,25-10,21.02,117.1,9,96.1,52,67.5,78,-0.014,203,8.22,41,107.8,34,99.5,49,-4.95,279
19,20,Xavier 4,A10,27-8,20.24,111.0,53,90.8,12,65.8,149,-0.008,185,5.81,64,105.8,68,100.0,62,7.97,24
20,21,BYU 8,MWC,25-8,20.1,114.0,28,93.9,35,69.0,41,-0.046,285,4.57,79,105.4,76,100.9,82,0.39,145
21,22,Texas 7,B12,23-12,19.65,112.2,42,92.5,20,65.4,160,-0.048,288,10.16,17,109.2,8,99.0,36,2.01,108
22,23,Clemson 7,ACC,23-9,19.62,116.4,16,96.7,61,67.9,67,-0.024,236,6.19,60,105.4,77,99.2,43,-4.45,266
23,24,Wake Forest 4,ACC,24-7,18.88,111.6,46,92.7,22,72.8,7,0.051,52,7.66,51,107.5,41,99.9,55,-4.35,262
24,25,Illinois 5,B10,24-10,18.72,106.8,104,88.1,4,62.8,271,0.001,164,7.96,45,106.5,55,98.6,23,-3.36,239
25,26,Oklahoma St. 8,B12,23-12,18.33,116.4,15,98.1,73,69.3,36,-0.003,169,10.46,12,108.8,15,98.4,19,-0.28,165
26,27,USC 10,P10,22-13,18.26,110.0,65,91.8,16,63.7,242,-0.032,260,10.81,9,110.5,2,99.7,51,0.74,134
27,28,Utah 5,MWC,24-10,17.8,110.8,56,92.9,23,65.0,184,0.013,136,7.29,53,107.9,33,100.6,75,6.96,34
28,29,Wisconsin 12,B10,20-13,17.62,113.3,31,95.7,46,59.1,333,-0.052,299,9.51,28,107.3,44,97.8,9,1.32,121
29,30,California 7,P10,22-11,17.37,116.8,11,99.4,96,66.0,140,0.001,162,9.17,33,108.0,30,98.8,30,-3.54,246
30,31,Georgetown 6,BE,16-15,16.96,111.1,51,94.2,36,62.7,277,-0.106,340,11.11,7,108.7,16,97.6,5,2.49,96
31,32,Tennessee 9,SEC,21-13,16.48,115.1,20,98.7,83,67.7,72,-0.032,261,9.4,31,107.9,31,98.5,21,9.15,21
32,33,Baylor 3,B12,24-15,16.38,116.5,14,100.1,115,65.8,152,-0.017,219,10.57,11,108.6,18,98.0,11,-2.35,218
33,34,Ohio St. 8,B10,22-11,16.34,113.3,32,96.9,63,62.5,284,0.042,67,9.46,30,107.7,36,98.2,14,-3.41,241
34,35,Florida 1,SEC,25-11,16.16,115.1,21,98.9,88,65.8,151,-0.076,326,2.61,104,104.0,122,101.4,104,-8.15,321
35,36,San Diego St. 1,MWC,26-10,16.05,109.4,71,93.3,30,61.8,305,0.02,117,5.59,66,105.6,70,100.0,61,-1.71,201
36,37,Arizona 12,P10,21-14,15.96,117.7,6,101.8,147,64.9,187,0.018,119,11.33,6,109.0,10,97.7,8,2.34,100
37,38,Butler 9,Horz,26-6,15.78,110.3,62,94.5,38,62.8,274,-0.014,206,2.51,105,103.0,159,100.5,73,6.15,39
38,39,Florida St. 5,ACC,25-10,15.76,105.9,116,90.1,7,65.9,148,0.066,28,10.01,21,109.2,6,99.2,42,0.6,140
39,40,Minnesota 10,B10,22-11,15.43,108.1,90,92.6,21,64.5,211,0.031,89,8.44,38,107.4,43,98.9,33,-4.18,257
40,41,Notre Dame 2,BE,21-15,15.38,115.0,22,99.6,100,67.2,94,-0.034,267,9.93,23,107.5,42,97.6,6,-3.71,250
41,42,Miami FL 4,ACC,19-13,15.3,111.2,50,95.9,48,64.3,216,-0.048,290,9.1,35,108.1,29,98.9,34,-4.21,258
42,43,New Mexico 3,MWC,22-12,15.29,112.2,41,96.9,62,64.8,196,-0.054,302,4.56,80,105.9,66,101.3,100,0.48,142
43,44,Utah St. 11,WAC,30-5,15.12,116.7,12,101.6,143,60.0,327,0.046,58,-0.47,169,103.2,151,103.6,192,-2.77,225
44,45,Texas A&M 9,B12,24-10,15.01,113.1,35,98.1,74,63.9,235,0.053,48,7.85,48,107.1,48,99.3,45,-4.3,261
45,46,LSU 8,SEC,27-8,14.86,111.5,47,96.6,60,66.1,136,0.075,22,3.5,92,104.6,101,101.1,86,-8.66,327
46,47,Michigan 10,B10,21-14,14.75,112.2,40,97.5,67,62.5,285,0.014,132,11.39,5,108.5,20,97.1,3,0.63,139
47,48,Kentucky 4,SEC,22-14,14.62,107.8,91,93.2,27,66.6,111,-0.073,321,5.14,69,106.5,56,101.4,101,-5.74,295
48,49,Washington St. 7,P10,17-16,14.58,105.0,133,90.4,8,57.6,340,-0.076,327,10.04,20,109.8,3,99.7,52,-1.96,206
49,50,Temple 11,A10,22-12,14.38,109.9,68,95.5,43,63.5,255,-0.005,173,6.68,54,106.9,49,100.3,68,7.22,32
50,51,Kansas St. 4,B12,22-12,14.18,109.4,72,95.2,40,67.4,84,-0.019,228,5.84,63,106.2,62,100.3,71,-8.12,320
51,52,Stanford,P10,20-14,14.13,112.5,39,98.3,77,67.5,80,-0.022,234,7.65,52,107.6,38,99.9,58,-4.87,278
52,53,UAB 7,CUSA,22-12,13.73,109.4,70,95.7,47,66.4,122,-0.009,188,5.04,71,106.2,61,101.2,92,3.87,70
53,54,VCU 11,CAA,24-10,13.62,110.1,64,96.4,57,65.8,150,-0.073,320,0.23,156,102.9,166,102.7,157,3.46,78
54,55,Maryland 10,ACC,21-14,13.55,110.0,67,96.4,56,66.3,126,0.039,72,9.61,26,108.3,24,98.7,28,-3.29,238
55,56,Saint Mary's 2,WCC,28-7,13.36,110.6,58,97.2,65,66.5,114,0.083,16,1.81,115,103.6,135,101.8,121,1.62,115
56,57,Penn St. 2,B10,27-11,12.91,111.8,44,98.9,87,61.8,304,0.08,18,6.15,61,105.2,86,99.0,38,-9.92,337
57,58,Tulsa 4,CUSA,25-11,12.75,106.2,110,93.4,31,64.1,226,0.06,36,4.88,73,105.4,79,100.5,72,2.32,101
58,59,Auburn 1,SEC,24-12,12.46,106.8,102,94.3,37,68.3,60,-0.032,259,3.54,91,104.7,96,101.2,95,-7.27,310
59,60,Illinois St. 5,MVC,24-10,12.44,109.0,78,96.5,58,64.2,223,-0.038,273,1.1,131,103.1,153,102.0,130,-4.41,263
60,61,North Dakota St. 14,Sum,26-7,12.29,114.3,25,102.0,152,67.5,79,-0.009,187,-1.6,193,103.1,154,104.7,236,2.21,105
61,62,Rhode Island 6,A10,23-11,12.26,113.7,29,101.5,141,67.7,76,-0.043,278,3.16,96,104.9,95,101.7,115,0.22,148
62,63,Nebraska 6,B12,18-13,12.21,103.5,153,91.3,15,62.9,268,-0.032,262,6.32,58,106.6,52,100.3,69,-8.47,325
63,64,Davidson 6,SC,27-8,12.06,105.1,129,93.1,26,70.0,23,0.003,153,-3.79,245,102.8,172,106.6,319,8.47,23
64,65,Northwestern 5,B10,17-14,12.01,111.7,45,99.7,102,60.2,324,-0.029,250,7.92,46,106.6,54,98.6,26,-5.83,296
65,66,Cleveland St. 13,Horz,26-11,11.96,105.3,124,93.3,29,63.7,243,0.009,145,3.76,88,104.6,100,100.9,81,7.07,33
66,67,Siena 9,MAAC,27-8,11.93,110.3,63,98.4,78,70.7,16,0.031,90,0.91,138,102.4,188,101.5,109,7.27,29
67,68,Creighton 1,MVC,27-8,11.79,111.9,43,100.1,112,67.0,98,0.05,54,0.97,136,102.3,192,101.4,103,-2.51,220
68,69,Mississippi St. 13,SEC,23-13,11.55,107.8,92,96.2,54,67.2,95,-0.004,170,4.96,72,105.3,82,100.3,70,-3.07,234
69,70,Houston,CUSA,21-12,11.49,109.2,76,97.7,69,68.5,55,-0.038,272,1.63,118,104.2,113,102.5,149,-4.81,277
70,71,South Carolina 3,SEC,21-10,11.44,107.3,96,95.9,49,72.6,8,-0.012,198,2.8,102,104.4,105,101.6,111,-9.84,334
71,72,Virginia Tech 2,ACC,19-15,11.37,110.9,55,99.5,97,65.4,168,-0.007,184,8.01,43,107.5,40,99.5,48,-2.87,227
72,73,UNLV 5,MWC,21-11,11.29,106.9,101,95.6,45,65.1,176,0.01,143,4.73,76,105.5,74,100.8,77,-1.3,191
73,74,Boston College 7,ACC,22-12,11.2,113.2,33,102.0,150,65.3,172,0.038,74,6.4,56,106.6,51,100.2,67,-5.57,292
74,75,Niagara 3,MAAC,26-9,10.62,109.2,75,98.6,81,68.4,58,0.003,158,-1.57,190,100.9,244,102.5,148,-0.27,163
75,76,Seton Hall,BE,17-15,10.3,110.7,57,100.4,119,67.7,75,-0.025,239,8.26,40,106.6,53,98.3,18,-5.48,290
76,77,Providence 5,BE,19-14,10.26,111.0,54,100.7,127,72.1,11,0.034,79,7.68,49,107.2,47,99.5,47,-4.69,275
77,78,Dayton 11,A10,27-8,10.23,103.3,156,93.0,25,64.5,210,0.107,5,2.34,110,104.9,93,102.6,152,-4.57,269
