,Rk,Team,Conf,W-L,AdjEM,AdjO,Unnamed: 6,AdjD,Unnamed: 8,AdjT,Unnamed: 10,Luck,Unnamed: 12,AdjEM.1,Unnamed: 14,OppO,Unnamed: 16,OppD,Unnamed: 18,AdjEM.2,Unnamed: 20
0,1,Duke 1,ACC,31-6,32.33,120.8,2,88.5,3,67.7,94,-0.028,232,12.59,7,109.5,7,96.9,4,2.42,94
1,2,Connecticut 2,BE,33-6,28.3,117.8,9,89.5,6,68.2,75,0.012,140,8.93,18,107.7,27,98.8,14,-2.05,216
2,3,Saint Joseph's 1,A10,30-2,27.66,118.9,5,91.2,12,66.1,148,0.06,42,6.99,40,107.1,38,100.1,43,8.86,10
3,4,Oklahoma St. 2,B12,31-4,27.37,118.5,6,91.1,11,64.8,203,0.029,92,7.56,31,107.7,29,100.1,44,-5.55,274
4,5,Pittsburgh 3,BE,31-5,25.91,114.1,20,88.2,2,59.7,314,-0.028,235,5.97,56,106.4,63,100.5,65,-8.2,305
5,6,Wisconsin 6,B10,25-7,25.74,116.0,14,90.3,8,60.7,310,-0.001,174,8.34,23,108.0,20,99.7,30,3.63,64
6,7,Gonzaga 2,WCC,28-3,25.34,120.8,3,95.5,36,66.6,128,0.013,136,3.28,105,105.5,94,102.2,116,7.0,23
7,8,Georgia Tech 3,ACC,28-10,24.69,113.5,28,88.8,4,69.1,49,0.008,148,13.74,3,110.8,2,97.1,5,0.97,138
8,9,N.C. State 3,ACC,21-10,23.98,119.1,4,95.1,33,62.1,292,-0.072,298,12.81,6,109.5,6,96.7,3,-0.59,179
9,10,Kentucky 1,SEC,27-5,23.35,113.5,26,90.1,7,66.1,151,0.031,87,8.97,16,108.3,16,99.3,21,3.47,67
10,11,North Carolina 6,ACC,19-11,23.23,117.4,10,94.1,23,70.9,16,-0.091,311,13.85,2,110.2,4,96.4,2,2.76,79
11,12,Stanford 1,P10,30-2,22.52,111.9,42,89.3,5,64.5,212,0.051,56,3.76,99,105.9,78,102.2,117,-1.79,209
12,13,Illinois 5,B10,26-7,22.11,117.8,8,95.7,39,63.5,252,0.055,47,8.13,26,107.7,28,99.5,26,2.52,89
13,14,Mississippi St. 2,SEC,26-4,21.74,114.7,18,92.9,17,68.1,82,0.021,114,6.38,48,106.3,69,99.9,39,-1.89,210
14,15,Wake Forest 4,ACC,21-10,21.69,121.6,1,99.9,102,70.4,23,-0.019,216,13.52,4,109.6,5,96.1,1,1.79,116
15,16,Cincinnati 4,CUSA,25-7,21.56,116.1,13,94.5,26,66.7,127,0.003,163,5.62,66,105.6,90,100.0,41,-0.28,172
16,17,Texas 3,B12,25-8,21.54,115.6,16,94.1,22,64.7,206,0.038,72,9.27,14,109.1,11,99.8,35,0.8,143
17,18,Kansas 4,B12,24-9,20.89,112.3,38,91.4,13,69.4,40,0.017,125,10.39,11,109.2,10,98.8,15,6.53,30
18,19,Louisville 10,CUSA,20-10,20.44,107.1,94,86.6,1,67.4,106,-0.079,303,7.09,39,107.0,43,99.9,37,4.23,57
19,20,Nevada 10,WAC,25-9,20.27,112.3,39,92.0,15,68.7,58,-0.039,251,7.09,38,107.6,32,100.5,66,4.97,48
20,21,Xavier 7,A10,26-11,20.16,113.8,21,93.6,20,64.1,230,-0.022,219,7.19,36,107.5,33,100.3,58,2.75,81
21,22,Maryland 4,ACC,20-12,19.81,110.9,52,91.1,10,71.1,12,-0.009,189,14.09,1,112.1,1,98.0,8,-1.13,192
22,23,Vanderbilt 6,SEC,23-10,18.64,113.6,23,95.0,30,65.0,193,-0.002,176,7.87,28,108.0,23,100.1,45,-6.57,288
23,24,Providence 5,BE,20-9,18.32,112.3,40,93.9,21,65.0,196,0.003,165,8.8,21,107.9,25,99.1,19,4.05,59
24,25,Florida 5,SEC,20-11,18.26,116.9,12,98.6,78,65.9,162,-0.023,222,9.6,13,107.9,24,98.3,11,0.08,163
25,26,Florida St.,ACC,19-14,17.48,109.0,74,91.5,14,64.3,221,-0.09,310,10.38,12,109.1,13,98.7,12,-6.81,293
26,27,Seton Hall 8,BE,21-10,17.35,112.3,37,95.0,31,65.4,180,-0.004,178,7.85,29,107.2,36,99.4,23,-1.14,193
27,28,Texas Tech 8,B12,23-11,17.11,111.4,46,94.3,24,66.7,126,0.01,143,8.29,24,108.4,15,100.1,47,2.29,97
28,29,Alabama 8,SEC,20-13,16.5,114.7,17,98.2,67,64.7,207,0.004,161,11.2,8,109.1,12,97.9,7,6.59,29
29,30,Syracuse 5,BE,23-8,16.34,113.1,31,96.7,50,65.7,169,0.086,19,7.88,27,107.4,34,99.6,27,-4.61,261
30,31,Western Michigan 11,MAC,26-5,16.29,114.3,19,98.0,64,65.6,173,0.037,74,-0.63,175,103.5,157,104.1,186,-1.21,196
31,32,Arizona 9,P10,20-10,16.18,118.5,7,102.3,151,73.0,6,-0.072,296,5.72,63,106.7,55,101.0,80,4.6,53
32,33,Memphis 7,CUSA,22-8,16.17,111.8,43,95.6,37,66.6,131,0.012,137,5.55,69,105.7,86,100.2,48,1.83,114
